Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
MERIVALE – THE SACKVILLE HOTEL,Notification,MN-35033,JH 7 PROPERTIES PTY LTD; 41 621 226 140; HEMMES TRADING PTY LIMITED; 29 105 332 652,AMALGAMATED HOTELS PTY LIMITED; 82 009 604 719,Accommodation and Hospitality; Property and Real Estate,HEMMES PROPERTY PTY LIMITED; 87 105 332 518,2026-08-04,Phase 1 - initial assessment,Under assessment,2026-09-15,42.0,31.0,,,,,"4511 Cafes and Restaurants; 4520 Pubs, Taverns and Bars; 6711 Residential Property Operators; 6712 Non-Residential Property Operators",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/merivale-%E2%80%93-the-sackville-hotel,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 12 August 2026 via email to mergers@accc.gov.au with the title Submission re: Merivale – The Sackville Hotel. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 5 Aug 2026 Merivale - The Sackville Hotel - Third-party questionnaire Attachment 116.65 KB,Y,5 Aug 2026: Merivale - The Sackville Hotel - Third-party questionnaire,2026-08-05T12:43:56+10:00,2026-08-11T01:56:49.469233Z
bp - bp Gateway,Notification,MN-95033,BP AUSTRALIA PTY LTD; 53 004 085 616,M. & H.J. WEBB PTY. LIMITED; 56 001 662 040,Fuel Retail,BP plc; UK company number: 00102498; BP Australia Investments Pty Ltd; 66 102 991 551,2026-08-04,Phase 1 - initial assessment,Under assessment,2026-09-15,42.0,31.0,,,,,4000 Fuel Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/bp-bp-gateway,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 12 August 2026 via email to mergers@accc.gov.au with the title Submission re: bp – bp Gateway. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 5 Aug 2026 Questionnaire - bp - bp Gateway Attachment 116.12 KB,Y,5 Aug 2026: Questionnaire - bp - bp Gateway,2026-08-05T12:32:12+10:00,2026-08-11T01:56:49.469233Z
HiTech Group Australia - Hudson Global Resources,Notification,MN-95038,HITECH GROUP AUSTRALIA LIMITED; 41 062 067 878,Hudson Global Resources (Aust) Pty Limited (Administrators Appointed); 21 002 888 762,Professional Services; Business Services,Glenn Ian Livingstone in his capacity as Administrator of Hudson Global Resources (Aust) Pty Limited,2026-08-04,Phase 1 - initial assessment,Under assessment,2026-09-15,42.0,31.0,,,,,6932 Accounting Services; 7211 Employment Placement and Recruitment Services; 7212 Labour Supply Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/hitech-group-australia-hudson-global-resources,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 12 August 2026 via email to mergers@accc.gov.au with the title Submission re: HiTech Group Australia - Hudson Global Resources. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 5 Aug 2026 Questionnaire HiTech Group Australia - Hudson Global Resources Attachment 116.56 KB,Y,5 Aug 2026: Questionnaire HiTech Group Australia - Hudson Global Resources,2026-08-05T16:35:42+10:00,2026-08-11T01:56:49.469233Z
HammondCare - Anglican Community Services' Support at Home business,Notification,MN-85038,HAMMONDCARE; 48 000 026 219,ANGLICAN COMMUNITY SERVICES; 39 922 848 563,Social Assistance,HAMMONDCARE HEALTH AND HOSPITALS LIMITED; 72 074 354 028,2026-08-03,Phase 1 - initial assessment,Under assessment,2026-09-14,42.0,31.0,,,,,8601 Aged Care Residential Services; 8790 Other Social Assistance Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/hammondcare-anglican-community-services-support-at-home-business,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 11 August 2026 via email to mergers@accc.gov.au with the title Submission re: HammondCare – Anglican Community Services' Support at Home Business. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 4 Aug 2026 Questionnaire - HammondCare - Anglican Community Services' Support at Home business Attachment 116.35 KB,Y,4 Aug 2026: Questionnaire - HammondCare - Anglican Community Services' Support at Home business,2026-08-04T11:40:36+10:00,2026-08-11T01:56:49.469233Z
Karmo/Simplr,Notification,MN-15030,KARMO HOLDINGS PTY LTD; 93 667 511 480,SUBMO PTY LTD; 19 637 015 457; EAGERS AUTOMOTIVE LIMITED; 87 009 680 013,Automotive Retail; Financial Advisory and Broking; Property and Real Estate; Other Services,,2026-08-03,Phase 1 - initial assessment,Under assessment,2026-09-14,42.0,31.0,,,,,"3911 Car Retailing; 3912 Motorcycle Retailing; 3913 Trailer and Other Motor Vehicle Retailing; 6419 Other Auxiliary Finance and Investment Services; 6611 Passenger Car Rental and Hiring; 9412 Automotive Body, Paint and Interior Repair; 9419 Other Automotive Repair and Maintenance",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/karmosimplr,,The ACCC has prepared a questionnaire on the Acquisition. The ACCC has prepared a questionnaire on the Acquisition. Submissions or information in response to the questionnaire should be provided by 11 August 2026 via email to mergers@accc.gov.au with the title Karmo-Simplr. The ACCC’s ability to give detailed consideration to submissions received after this time may be limited. read more 4 Aug 2026 Questionnaire - Karmo/Simplr Attachment 61.71 KB,Y,4 Aug 2026: Questionnaire - Karmo/Simplr,2026-08-04T17:47:29+10:00,2026-08-11T01:56:49.469233Z
Global Infrastructure Management and EQT led consortium - AES Corporation,Notification,MN-70027,"GIP Granite Co-Underwrite, L.P.; 10651649 (Corporation registration number); Horizon Parent, L.P.; EIN 414485659; EQT Keystone TopCo, LP; EIN 41-4395672; QIA Infrastructure Holding LLC; Qatar Financial Centre no. 01821; Qatar Holding LLC; CIK: 0001539025, Qatar Financial Centre no. 00004",The AES Corporation; 54-1163725 (I.R.S. Employer Identification Number),Manufacturing; Energy and Utilities; Construction and Engineering; Asset Management and Investment,Fluence Energy Pty Ltd; 87-1304612 (I.R.S. Employer Identification No.); 5B HOLDINGS PTY. LTD.; 97 606 402 699,2026-07-30,Phase 1 - initial assessment,Under assessment,2026-09-10,42.0,31.0,,,,,2439 Other Electrical Equipment Manufacturing; 2619 Other Electricity Generation; 2630 Electricity Distribution; 3109 Other Heavy and Civil Engineering Construction; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/global-infrastructure-management-and-eqt-led-consortium-aes-corporation,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-10T10:12:26+10:00,2026-08-11T01:56:49.469233Z
M Resources and Golden Energy and Resources – Tahmoor Coal Mine,Notification,MN-10022,Golden M Tahmoor Coal Holdings Pty Ltd; 697 956 791; Golden Energy and Resources Pte Ltd; UEN - 199508589E; M Resources Pty Ltd; 67 151 351 790,Tahmoor Coal Pty Ltd (In Liquidation); 97 076 663 968; Bargo Collieries Pty Ltd (In Liquidation); 34 000 970 276,Coal Mining; Manufacturing; Energy and Utilities; Professional Services,Shaun Fraser; Jonathan Henry,2026-07-30,Phase 1 - initial assessment,Under assessment,2026-09-10,42.0,31.0,,,,,0600 Coal Mining; 2110 Iron Smelting and Steel Manufacturing; 2611 Fossil Fuel Electricity Generation; 6932 Accounting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/m-resources-and-golden-energy-and-resources-%E2%80%93-tahmoor-coal-mine,,The period for providing submissions or information in response to the ACCC's Phase 1 questionnaire has concluded.,Y,,2026-08-07T15:56:51+10:00,2026-08-11T01:56:49.469233Z
Silk Contract Logistics – Toll Transport bulk logistics (glass and plastic) assets,Notification,MN-01116,SILK CONTRACT LOGISTICS PTY LTD; 56 006 444 355,TOLL TRANSPORT PTY. LIMITED; 31 006 604 191,Transport and Logistics,,2026-07-30,Phase 1 - initial assessment,Under assessment,2026-09-10,42.0,31.0,,,,,4610 Road Freight Transport; 5292 Freight Forwarding Services; 5299 Other Transport Support Services n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/silk-contract-logistics-%E2%80%93-toll-transport-bulk-logistics-glass-and-plastic-assets,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-10T16:40:54+10:00,2026-08-11T01:56:49.469233Z
Accenture - Dragos,Notification,MN-50032,"Accenture Venture Holdings, LLC; Delaware registered number - 10429510","PHOSPHORUS (AUS) PTY LTD; 58 678 218 356; DRAGOS AUSTRALIA PTY LTD; 62 638 810 616; Dragos, Inc.; Delaware file number - 6028773; Phosphorus Security LLC; Delaware file number - 10549306",Professional Services,ACCENTURE AUSTRALIA PTY LIMITED; 49 096 776 895; CYBERCX PTY LTD; 90 629 363 328; Accenture Inc.; Delaware registered number - 3387477; Accenture plc; Ireland registered number - 471706,2026-07-29,Phase 1 - initial assessment,Under assessment,2026-09-09,42.0,31.0,,,,,6962 Management Advice and Related Consulting Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/accenture-dragos,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-06T15:23:43+10:00,2026-08-11T01:56:49.469233Z
Accenture - runZero,Notification,MN-60031,"Accenture Venture Holdings, LLC; Delaware file number - 10429510","runZero, Inc.; Delaware registered number - 7045767",Professional Services,CYBERCX PTY LTD; 90 629 363 328; Accenture Inc.; Delaware registered number - 3387477; ACCENTURE AUSTRALIA PTY LIMITED; 49 096 776 895; Accenture plc; Ireland registered number - 471706,2026-07-29,Phase 1 - initial assessment,Under assessment,2026-09-09,42.0,31.0,,,,,6962 Management Advice and Related Consulting Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/accenture-runzero,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-06T15:27:35+10:00,2026-08-11T01:56:49.469233Z
MM Security – Micron Security Products,Notification,MN-01115,MM SECURITY SUPPLIES PTY LIMITED; 14 670 314 913,MICRON ALARM SUPPLIES PTY LTD; 39 002 553 406,Wholesale Trade,MML HOLDINGS LIMITED; 55 084 402 380,2026-07-29,Phase 1 - initial assessment,Under assessment,2026-09-09,42.0,31.0,,,,,3494 Other Electrical and Electronic Goods Wholesaling,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/mm-security-%E2%80%93-micron-security-products,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-06T14:27:48+10:00,2026-08-11T01:56:49.469233Z
Salesforce - Intercom,Notification,MN-40031,Ireland Acquisition Sub Inc.,"Intercom, Inc.; 45-3543961",Professional Services,"Intercom R&D Unlimited Company; 538158; Salesforce, Inc.; 0001108524; Salesforce Holdings LLC; 5673469",2026-07-28,Phase 1 - initial assessment,Under assessment,2026-09-08,42.0,31.0,,,,,7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/salesforce-intercom,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-05T15:54:01+10:00,2026-08-11T01:56:49.469233Z
Kimberly-Clark Corporation - Kenvue Inc.,Notification,MN-80005,Kimberly-Clark Corporation; Delaware Entity Registration Number - 239026,Kenvue Inc.; Delaware entity registration number - 6629984,Manufacturing; Wholesale Trade,,2026-07-28,Phase 1 - initial assessment,Under assessment,2026-09-08,42.0,31.0,,,,,1524 Sanitary Paper Product Manufacturing; 3720 Pharmaceutical and Toiletry Goods Wholesaling,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/kimberly-clark-corporation-kenvue-inc,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-05T15:02:02+10:00,2026-08-11T01:56:49.469233Z
Protech - ActivateRail,Notification,MN-05027,PROTECH GROUP (AUST) PTY LTD; 38 163 904 694,ACTIVATERAIL PTY LTD; 46 617 749 809,Business Services,RIPPERS PTY LTD; 90 600 268 031,2026-07-28,Phase 1 - initial assessment,Under assessment,2026-09-08,42.0,31.0,,,,,7212 Labour Supply Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/protech-activaterail,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-06T12:54:28+10:00,2026-08-11T01:56:49.469233Z
AbbVie - Apogee,Notification,MN-90027,Andor Merger Co.; DELAWARE FILE NO. - 10659205; Andor LLC; DELAWARE FILE NO. - 10659200; AbbVie Inc.; DELAWARE FILE NO. - 5126809,"Apogee Therapeutics Securities Corporation; EIN - 33-2083626; Apogee Therapeutics, Inc.; EIN - 934958665",Pharmaceutical Manufacturing; Professional Services,,2026-07-27,Phase 1 - initial assessment,Under assessment,2026-09-07,42.0,31.0,,,,,1841 Human Pharmaceutical and Medicinal Product Manufacturing; 6910 Scientific Research Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/abbvie-apogee,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-05T10:38:01+10:00,2026-08-11T01:56:49.469233Z
